no_year,BedroomAbvGr,BsmtFullBath,SaleCondition,KitchenAbvGr,SalePrice
50,3,0,Normal,1,97000
50,1,1,Normal,1,80000
63,3,1,Normal,1,155000
54,4,0,Normal,1,173000
15,1,1,Normal,1,196000
30,4,1,Normal,1,262280
39,4,1,Normal,1,278000
65,4,0,Normal,1,139600
26,3,0,Normal,1,145000
60,3,0,Normal,1,115000
74,2,0,Abnorml,1,84900
56,4,0,Normal,1,165000
63,4,0,Normal,1,144500
18,3,1,Normal,1,255000
44,3,0,Abnorml,1,180000
15,2,1,Normal,1,185850
26,3,0,Normal,1,248000
12,3,1,Normal,1,335000
88,3,0,Normal,1,220000
19,2,1,Normal,1,213500
85,2,0,Normal,1,81000
120,5,0,Normal,2,90000
95,2,0,Normal,1,110500
54,3,0,Normal,1,154000
24,3,1,Normal,1,328000
27,3,0,Normal,1,178000
56,4,1,Normal,1,167900
47,5,1,Normal,1,151400
71,2,0,Normal,1,135000
64,3,1,Normal,1,135000
52,4,0,Normal,1,154000
72,4,1,Normal,1,91500
43,3,0,Normal,1,159500
14,2,0,Normal,1,194000
80,3,0,Normal,1,219500
84,3,0,Normal,1,170000
51,3,1,Abnorml,1,138800
16,1,1,Normal,1,155900
26,3,0,Normal,1,126000
49,3,0,Abnorml,1,145000
57,3,1,Normal,1,133000
18,3,0,Normal,1,192000
56,3,1,Normal,1,160000
25,3,0,Normal,1,187500
28,2,1,Normal,1,147000
47,3,0,Normal,1,83500
15,3,0,Normal,1,252000
16,3,0,Normal,1,137500
15,1,1,Normal,1,197000
70,2,0,Normal,2,92900
21,2,1,Normal,1,160000
95,4,0,Normal,1,136500
55,1,1,Normal,1,146000
64,2,1,Normal,1,129000
14,3,0,Normal,1,176432
106,3,0,Normal,1,127000
34,2,0,Normal,1,170000
84,3,0,Normal,1,128000
42,3,0,Abnorml,1,157000
100,1,0,Normal,1,60000
49,3,0,Normal,1,119500
61,3,0,Normal,1,159500
50,3,0,Normal,1,106000
26,3,1,Normal,1,325000
30,3,1,Normal,1,179900
20,3,0,Abnorml,1,181000
16,3,1,Normal,1,280000
25,3,1,Normal,1,188000
44,4,0,Normal,1,205000
63,2,1,Normal,1,129900
67,2,1,Normal,1,134500
66,2,0,Normal,1,117000
18,3,1,Normal,1,184100
53,3,1,Normal,1,130000
62,3,0,Normal,1,140000
61,3,0,Normal,1,133700
100,2,0,Normal,1,118400
64,3,0,Abnorml,1,112000
73,2,0,Normal,1,118000
28,3,0,Normal,1,163900
65,2,0,Normal,1,115000
13,2,0,Normal,1,174000
16,4,0,Normal,1,215000
40,2,1,Normal,1,140000
92,4,1,Normal,1,135000
29,3,0,Abnorml,1,93500
140,5,0,Normal,1,117500
25,3,0,Normal,1,239500
23,3,0,Normal,1,169000
94,2,0,Normal,1,102000
70,3,0,Abnorml,1,119000
145,2,0,Normal,1,94000
43,2,1,Normal,1,196000
100,3,0,Normal,1,144000
69,2,1,Abnorml,1,139000
44,4,1,Normal,1,197500
61,3,0,Normal,1,80000
79,2,1,Normal,1,80000
35,3,1,Normal,1,180000
79,3,0,Normal,1,174500
94,2,0,Normal,1,116900
100,3,0,Normal,1,143000
70,2,0,Normal,1,124000
61,3,0,Normal,1,149900
64,2,0,Abnorml,1,230000
90,2,0,Normal,1,120500
55,4,0,Normal,1,201800
44,3,1,Normal,1,218000
55,3,0,Normal,1,179900
13,2,1,Normal,1,230000
46,4,0,Normal,1,185000
42,3,0,Normal,1,146000
66,3,1,Normal,1,224000
52,3,0,Normal,1,129000
42,2,1,Normal,1,194000
12,3,0,Normal,1,245350
20,3,1,Normal,1,173000
85,4,0,Normal,1,235000
25,4,1,Normal,1,625000
43,3,1,Normal,1,171000
62,3,1,Normal,1,163000
14,2,0,Normal,1,171900
74,3,0,Normal,1,200500
88,4,0,Normal,1,239000
28,4,0,Normal,1,285000
36,3,1,Normal,1,119500
94,3,0,Normal,1,115000
99,3,0,Normal,1,154900
66,3,0,Normal,1,93000
30,4,0,Normal,1,250000
24,4,1,Abnorml,1,745000
100,2,1,Normal,1,120000
57,3,1,Normal,1,186700
96,4,1,Normal,1,104900
120,3,1,Abnorml,2,95000
26,2,1,Normal,1,262000
18,3,0,Normal,1,195000
21,3,0,Normal,1,189000
59,3,1,Normal,1,168000
21,2,0,Normal,1,174000
95,3,0,Normal,1,125000
21,2,1,Normal,1,165000
51,4,0,Normal,1,158000
15,3,0,Normal,1,176000
104,3,0,Normal,1,144000
19,3,0,Normal,1,178000
57,3,0,Normal,1,148000
50,3,0,Abnorml,1,116050
22,3,0,Normal,1,197900
95,3,1,Normal,1,117000
20,3,0,Normal,1,213000
45,3,1,Normal,1,153500
30,3,0,Normal,1,271900
54,2,1,Normal,1,107000
17,3,1,Normal,1,200000
58,3,1,Normal,1,140000
28,3,0,Normal,1,189000
32,4,0,Normal,1,164000
79,2,1,Normal,1,113000
55,0,1,Normal,1,145000
58,3,1,Normal,1,134500
54,3,0,Normal,1,125000
42,4,0,Normal,2,112000
73,2,0,Normal,1,80500
49,3,0,Abnorml,1,91500
56,2,0,Abnorml,1,115000
52,3,0,Normal,1,134000
71,3,0,Normal,1,143000
69,4,0,Normal,1,137900
16,3,1,Normal,1,184000
62,3,0,Normal,1,145000
13,4,0,Normal,1,214000
55,2,1,Normal,1,147000
60,4,0,Normal,1,127000
43,4,0,Normal,2,190000
58,3,1,Normal,1,132500
58,2,0,Normal,2,101800
61,3,1,Abnorml,1,142000
109,4,0,Abnorml,1,130000
106,4,0,Normal,1,138887
17,2,0,Normal,1,175500
16,4,0,Normal,1,195000
15,3,0,Abnorml,1,142500
14,2,0,Normal,1,265900
17,3,1,Normal,1,224900
91,3,0,Normal,1,230000
36,3,0,Abnorml,1,178000
44,3,1,Normal,1,169900
103,3,0,Normal,1,129500
70,3,0,Normal,1,119000
52,3,1,Normal,1,244000
17,2,0,Normal,1,171750
52,3,1,Normal,1,130000
46,3,1,Normal,1,294000
17,3,0,Normal,1,165400
89,3,0,Normal,1,127500
26,2,1,Normal,1,301500
98,2,0,Normal,1,99900
15,2,1,Normal,1,190000
51,3,1,Normal,1,151000
21,3,0,Normal,1,181000
64,2,0,Normal,1,128900
63,5,1,Normal,1,161500
101,3,0,Normal,1,180500
22,2,1,Abnorml,1,181000
21,3,1,Normal,1,183900
110,4,0,Normal,2,122000
12,3,0,Normal,1,378500
85,4,0,Normal,1,381000
62,3,0,Normal,1,144000
41,0,2,Normal,1,260000
52,3,0,Normal,1,185750
55,3,1,Normal,1,137000
61,2,1,Normal,1,177000
110,3,0,Normal,1,139000
72,4,0,Normal,2,137000
48,3,0,Normal,1,162000
53,3,1,Normal,1,197900
18,3,1,Normal,1,237000
100,2,0,Abnorml,1,68400
18,3,1,Normal,1,227000
30,2,1,Normal,1,180000
43,3,0,Normal,1,150500
49,4,0,Normal,2,139000
101,4,0,Normal,1,169000
81,4,0,Normal,1,132500
57,3,1,Normal,1,143000
56,4,0,Normal,1,190000
20,2,1,Normal,1,278000
56,3,1,Normal,1,180500
48,3,0,Normal,1,119500
128,4,0,Normal,2,107500
44,4,0,Normal,1,162900
65,2,1,Normal,1,115000
52,3,1,Normal,1,138500
57,3,1,Normal,1,155000
61,3,1,Normal,1,154000
21,3,0,Normal,1,225000
78,3,0,Normal,1,177500
26,4,1,Normal,1,290000
15,3,0,Normal,1,232000
16,3,0,Normal,1,130000
14,2,1,Normal,1,325000
26,3,1,Normal,1,138000
72,2,1,Normal,1,147000
29,3,1,Normal,1,179200
61,3,1,Normal,1,335000
30,4,0,Normal,1,302000
21,4,0,Normal,1,333168
66,3,1,Normal,1,119000
51,4,0,Normal,1,206900
12,3,1,Normal,1,295493
19,3,0,Normal,1,275000
66,3,0,Normal,1,111000
63,3,1,Normal,1,156500
71,2,0,Normal,1,72500
28,3,1,Normal,1,190000
80,2,0,Normal,1,82500
98,2,0,Normal,1,55000
89,3,0,Normal,1,79000
38,3,0,Normal,1,130500
100,5,0,Normal,1,256000
22,3,0,Normal,1,176500
14,3,0,Normal,1,227000
44,3,0,Normal,1,132500
82,2,1,Normal,1,100000
82,2,0,Normal,1,125500
50,3,0,Normal,1,125000
43,2,0,Normal,1,167900
47,4,0,Normal,2,135000
79,2,0,Normal,1,52500
18,3,1,Normal,1,200000
48,3,0,Normal,1,128500
49,3,0,Normal,1,123000
17,3,1,Normal,1,155000
18,3,0,Normal,1,228500
92,3,0,Normal,1,177000
100,2,0,Normal,1,108500
52,3,0,Normal,1,262500
22,3,1,Normal,1,215000
148,4,0,Normal,1,122000
51,6,1,Normal,2,200000
58,4,0,Normal,1,171000
83,2,0,Normal,1,134900
25,4,1,Normal,1,410000
20,3,1,Normal,1,235000
52,4,0,Normal,1,170000
54,3,0,Normal,1,110000
49,3,1,Normal,1,149900
20,3,0,Normal,1,177500
16,3,1,Normal,1,315000
99,4,0,Normal,1,189000
15,3,1,Normal,1,260000
100,4,0,Normal,1,104900
15,2,0,Abnorml,1,144152
20,3,1,Normal,1,216000
21,3,1,Abnorml,1,193000
43,4,0,Normal,1,127000
17,1,1,Normal,1,144000
17,3,1,Normal,1,232000
100,2,0,Normal,1,105000
65,3,1,Normal,1,165500
22,3,1,Normal,1,274300
19,2,1,Normal,1,466500
15,3,0,Normal,1,250000
90,2,0,Normal,1,91000
79,3,0,Normal,1,117000
47,2,0,Normal,1,83000
14,3,0,Normal,1,167500
106,2,1,Normal,1,58500
50,4,0,Normal,1,237500
100,4,1,Normal,1,157000
102,3,0,Normal,1,112000
81,2,0,Normal,1,105000
98,3,1,Normal,1,125500
42,5,1,Normal,1,250000
14,3,1,Normal,1,377500
79,3,0,Normal,1,131000
20,3,1,Normal,1,235000
53,4,0,Normal,2,124000
53,3,1,Normal,1,123000
115,3,0,Normal,2,163000
15,4,0,Normal,1,281213
72,3,1,Normal,1,160000
100,4,0,Normal,1,137500
70,3,1,Normal,1,138000
95,3,0,Normal,1,137450
91,3,0,Normal,1,120000
16,3,1,Normal,1,193000
13,3,1,Normal,1,282922
16,2,1,Normal,1,275000
48,2,1,Normal,1,133000
35,3,1,Normal,1,112000
110,3,0,Normal,1,125500
34,3,0,Normal,1,215000
19,3,1,Normal,1,230000
70,3,0,Normal,1,140000
71,2,0,Normal,2,90000
15,2,1,Abnorml,1,257000
97,4,0,Normal,1,207000
13,1,0,Normal,1,175900
135,4,0,Normal,2,122500
22,3,1,Normal,1,340000
57,3,1,Normal,1,124000
51,3,1,Normal,1,223000
52,3,0,Normal,1,179900
43,2,0,Normal,1,127500
17,1,1,Normal,1,136500
62,2,1,Normal,1,144000
61,3,0,Normal,1,142000
26,3,1,Normal,1,271000
75,3,1,Normal,1,140000
80,2,1,Abnorml,1,119000
39,3,0,Normal,1,182900
15,4,0,Normal,1,192140
44,2,0,Normal,1,143750
93,4,0,Normal,1,64500
20,3,1,Normal,1,186500
43,3,1,Normal,1,160000
58,3,1,Abnorml,1,174000
49,3,0,Normal,1,120500
63,2,1,Normal,1,149700
41,3,0,Normal,1,197000
98,3,0,Normal,1,191000
16,1,1,Normal,1,149300
12,3,1,Normal,1,310000
104,2,0,Normal,1,121000
16,3,0,Normal,1,179600
54,3,1,Normal,1,129000
58,3,0,Normal,1,157900
25,3,1,Normal,1,240000
110,2,0,Normal,1,112000
50,1,1,Abnorml,1,92000
46,4,0,Normal,2,136000
15,2,1,Normal,1,145000
14,3,0,Abnorml,1,84500
16,2,1,Normal,1,185000
21,3,0,Normal,1,175000
42,3,1,Normal,1,210000
79,4,0,Normal,1,266500
70,2,1,Normal,1,142125
55,3,1,Normal,1,147500
